,city,city_id,cloudiness,cod,country,date,humidity,lat,lon,main_pressure,main_temp,sys_country,sys_id,sys_sunrise,sys_sunset,sys_type,temp_max,temp_min,timezone,visibility,weather_description,weather_icon,weather_id,weather_main,wind_deg,wind_speed
1091,Danane,NaN,89.0,NaN,CI,1573179349.0,95.0,7.26,-8.15,NaN,NaN,CI,NaN,NaN,NaN,NaN,67.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.96
1092,Totness,4589590,75.0,200,US,1573179350.0,88.0,33.74,-80.8,1018,65.8,US,3722,1573127254,1573165571,1,68.0,62.6,-18000,16093,broken clouds,04n,803,Clouds,171,5.7
1093,Muli,NaN,0.0,NaN,CN,1573179351.0,51.0,28.08,109.56,NaN,NaN,CN,NaN,NaN,NaN,NaN,62.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.67
1094,Huaral,3939285,90.0,200,PE,1573179352.0,82.0,-11.5,-77.21,1012,64.4,PE,8682,1573122923,1573168180,1,64.4,64.4,-18000,10000,overcast clouds,04n,804,Clouds,180,8.05
1095,Eydhafushi,NaN,82.0,NaN,MV,1573179353.0,78.0,5.1,73.07,NaN,NaN,MV,NaN,NaN,NaN,NaN,82.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.22
1096,Basoko,NaN,100.0,NaN,CD,1573179355.0,98.0,1.23,23.61,NaN,NaN,CD,NaN,NaN,NaN,NaN,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.77
1097,Kitzbuhel,2774347,75.0,200,AT,1573179357.0,93.0,47.45,12.39,NaN,NaN,AT,6877,1573193038,1573227863,1,37.4,NaN,3600,10000,broken clouds,04n,803,Clouds,NaN,1.12
1098,Lavumisa,935051,100.0,200,ZA,1573179358.0,73.0,-27.31,31.88,NaN,NaN,ZA,2051,1573181830,1573229716,1,71.6,NaN,7200,NaN,NaN,NaN,NaN,NaN,NaN,3.36
1099,Polson,5671996,1.0,200,US,1573179360.0,74.0,47.69,-114.16,1026,28.4,US,4253,1573136988,1573171852,1,28.4,28.4,-25200,16093,clear sky,01n,800,Clear,138,2.51
1100,Oudtshoorn,967106,0.0,200,ZA,1573179362.0,71.0,-33.59,22.2,1022,57.2,ZA,1918,1573183524,1573232668,1,57.2,57.2,7200,10000,clear sky,01n,800,Clear,300,4.7
1101,Lisakovsk,NaN,100.0,NaN,KZ,1573179363.0,87.0,52.55,62.49,NaN,NaN,KZ,NaN,NaN,NaN,NaN,40.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.13
1102,Garoua,NaN,2.0,NaN,CM,1573179364.0,35.0,9.31,13.39,NaN,NaN,CM,NaN,NaN,NaN,NaN,75.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.88
1103,Kuldur,NaN,76.0,NaN,RU,1573179365.0,61.0,49.22,131.63,NaN,NaN,RU,NaN,NaN,NaN,NaN,19.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.01
1104,Chimbarongo,NaN,33.0,NaN,CL,1573179366.0,70.0,-34.71,-71.04,NaN,NaN,CL,NaN,NaN,NaN,NaN,58.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.43
1105,Xinzhou,NaN,0.0,NaN,CN,1573179367.0,60.0,38.41,112.73,NaN,NaN,CN,NaN,NaN,NaN,NaN,49.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.29
1106,Katherine,2068655,40.0,200,AU,1573179370.0,30.0,-14.47,132.26,1011,96.8,AU,9589,1573158821,1573204539,1,96.8,96.8,34200,10000,scattered clouds,03d,802,Clouds,50,6.93
1107,Sinazongwe,NaN,21.0,NaN,ZM,1573179371.0,42.0,-17.26,27.46,NaN,NaN,ZM,NaN,NaN,NaN,NaN,80.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.67
